GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Lang,org.apache.commons.lang3.text.translate,UnicodeUnescaper,0,119,2,14,0,17,2,8,0,2
Apache Commons Lang,org.apache.commons.lang3.text.translate,AggregateTranslator,0,37,0,4,0,8,0,4,0,2
Apache Commons Lang,org.apache.commons.lang3.text.translate,CharSequenceTranslator,6,185,2,16,2,34,2,13,0,6
Apache Commons Lang,org.apache.commons.lang3.text.translate,JavaUnicodeEscaper,15,35,0,0,3,5,3,3,3,3
Apache Commons Lang,org.apache.commons.lang3.text.translate,CodePointTranslator,0,18,0,2,0,4,0,3,0,2
Apache Commons Lang,org.apache.commons.lang3.text.translate,UnicodeEscaper,16,105,0,12,3,22,2,12,2,6
Apache Commons Lang,org.apache.commons.lang3.text.translate,UnicodeUnpairedSurrogateRemover,0,13,0,4,0,4,0,4,0,2
Apache Commons Lang,org.apache.commons.lang3.text.translate,NumericEntityUnescaper.OPTION,0,34,0,0,0,1,0,1,0,1
Apache Commons Lang,org.apache.commons.lang3.text.translate,OctalUnescaper,1,115,4,20,0,17,4,12,0,4
Apache Commons Lang,org.apache.commons.lang3.text.translate,LookupTranslator,0,132,1,15,0,28,1,9,0,2
Apache Commons Lang,org.apache.commons.lang3.text.translate,NumericEntityEscaper,0,76,0,10,0,20,0,12,0,7
Apache Commons Lang,org.apache.commons.lang3.text.translate,EntityArrays,0,3463,0,2,0,26,0,14,0,13
Apache Commons Lang,org.apache.commons.lang3.text.translate,NumericEntityUnescaper,2,203,5,43,0,41,5,22,0,3
Apache Commons Lang,org.apache.commons.lang3,LocaleUtils,6,489,11,75,0,90,10,44,0,10
Apache Commons Lang,org.apache.commons.lang3,EnumUtils,0,361,1,25,0,68,1,25,0,13
Apache Commons Lang,org.apache.commons.lang3,SerializationUtils.ClassLoaderAwareObjectInputStream,8,77,1,1,2,21,1,3,0,3
Apache Commons Lang,org.apache.commons.lang3,StringEscapeUtils.CsvEscaper,5,64,1,3,1,10,1,4,0,3
Apache Commons Lang,org.apache.commons.lang3,ClassUtils.2.new Iterator() {...},4,94,1,9,1,17,2,8,1,4
Apache Commons Lang,org.apache.commons.lang3,Conversion,194,2650,84,376,32,429,75,229,1,43
Apache Commons Lang,org.apache.commons.lang3,AnnotationUtils.new ToStringStyle() {...},7,76,4,4,2,23,4,3,0,3
Apache Commons Lang,org.apache.commons.lang3,ThreadUtils.NamePredicate,0,37,2,8,0,7,2,6,0,3
Apache Commons Lang,org.apache.commons.lang3,CharUtils,0,356,0,56,0,60,0,53,0,25
Apache Commons Lang,org.apache.commons.lang3,AnnotationUtils,48,455,9,83,21,93,10,47,1,10
Apache Commons Lang,org.apache.commons.lang3,CharRange.CharacterIterator,4,126,0,18,1,29,1,13,1,4
Apache Commons Lang,org.apache.commons.lang3,NotImplementedException,0,42,0,0,0,16,0,7,0,7
Apache Commons Lang,org.apache.commons.lang3,ArrayUtils.new Comparator() {...},0,7,0,0,0,2,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3,BooleanUtils,0,800,9,245,0,190,9,161,0,41
Apache Commons Lang,org.apache.commons.lang3,ObjectUtils,33,621,1,95,6,148,1,84,0,37
Apache Commons Lang,org.apache.commons.lang3,ThreadUtils.AlwaysTruePredicate,0,4,0,0,0,2,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3,ThreadUtils.ThreadIdPredicate,0,27,1,5,0,6,1,4,0,2
Apache Commons Lang,org.apache.commons.lang3,StringUtils,22,6554,26,1425,6,1600,27,919,1,219
Apache Commons Lang,org.apache.commons.lang3,SerializationUtils,23,134,1,13,8,44,1,13,0,7
Apache Commons Lang,org.apache.commons.lang3,CharSet,0,301,0,34,0,60,0,26,0,9
Apache Commons Lang,org.apache.commons.lang3,RandomStringUtils,13,313,2,54,3,63,3,46,1,20
