GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fastjson,com.alibaba.fastjson.support.hsf,HSFJSONUtils,14,241,5,23,6,66,6,11,1,2
fastjson,com.alibaba.fastjson.support.spring,FastJsonpResponseBodyAdvice,12,99,3,7,2,23,4,10,1,8
fastjson,com.alibaba.fastjson.support.spring,FastJsonpHttpMessageConverter4,0,42,0,0,0,10,0,8,0,8
fastjson,com.alibaba.fastjson.support.spring,FastJsonHttpMessageConverter.Spring4TypeResolvableHelper,91,64,15,13,20,22,10,8,0,4
fastjson,com.alibaba.fastjson.support.spring,PropertyPreFilters,36,25,0,0,9,6,4,3,4,3
fastjson,com.alibaba.fastjson.support.spring,MappingFastJsonValue,7,54,2,4,3,18,4,6,2,5
fastjson,com.alibaba.fastjson.support.spring,FastJsonRedisSerializer,28,67,0,6,4,27,0,8,0,5
fastjson,com.alibaba.fastjson.support.spring,FastJsonHttpMessageConverter4,0,42,0,0,0,10,0,8,0,8
fastjson,com.alibaba.fastjson.support.spring,GenericFastJsonRedisSerializer,14,57,0,6,2,11,0,7,0,4
fastjson,com.alibaba.fastjson.support.spring,FastJsonHttpMessageConverter,40,272,4,16,7,82,4,29,0,23
fastjson,com.alibaba.fastjson.support.spring,FastJsonJsonView,22,321,5,25,4,93,6,33,1,23
fastjson,com.alibaba.fastjson.support.spring,FastJsonContainer,4,16,0,0,2,7,1,4,1,4
fastjson,com.alibaba.fastjson.support.spring,PropertyPreFilters.MySimplePropertyPreFilter,32,25,2,2,7,6,4,3,3,2
fastjson,com.alibaba.fastjson.support.spring,FastJsonViewResponseBodyAdvice,3,104,2,8,0,16,2,8,0,5
fastjson,com.alibaba.fastjson.support.spring,FastjsonSockJsMessageCodec,12,22,0,0,2,6,2,2,2,2
fastjson,com.alibaba.fastjson.support.spring,JSONPResponseBodyAdvice,18,68,5,7,2,18,5,6,1,4
fastjson,com.alibaba.fastjson.support.jaxrs,FastJsonFeature,3,53,1,3,1,16,1,4,0,3
fastjson,com.alibaba.fastjson.support.jaxrs,FastJsonProvider,41,372,5,43,10,100,5,43,1,23
fastjson,com.alibaba.fastjson.support.jaxrs,FastJsonAutoDiscoverable,0,20,1,3,0,6,1,4,0,3
fastjson,com.alibaba.fastjson.asm,Label,8,184,1,13,2,39,1,10,0,4
fastjson,com.alibaba.fastjson.asm,TypeCollector.new HashMap() {...},0,43,0,0,0,9,0,1,0,1
fastjson,com.alibaba.fastjson.asm,MethodCollector,1,76,2,8,0,15,2,6,0,3
fastjson,com.alibaba.fastjson.asm,ClassReader,64,751,15,76,17,175,12,44,0,8
fastjson,com.alibaba.fastjson.asm,TypeCollector,47,151,12,20,10,35,11,13,1,7
fastjson,com.alibaba.fastjson.asm,ClassWriter,13,704,3,51,1,139,3,37,0,13
fastjson,com.alibaba.fastjson.asm,Item,10,158,3,19,1,32,2,16,0,5
fastjson,com.alibaba.fastjson.asm,MethodWriter,30,452,10,38,5,96,10,29,0,15
fastjson,com.alibaba.fastjson.asm,Type,60,341,16,46,17,77,15,35,1,9
fastjson,com.alibaba.fastjson.asm,FieldWriter,0,55,0,2,0,17,0,5,0,4
fastjson,com.alibaba.fastjson.asm,ByteVector,8,321,5,19,2,72,5,17,0,10
fastjson,com.alibaba.fastjson.support.spring.messaging,MappingFastJsonMessageConverter,19,128,4,10,2,29,4,11,0,8
fastjson,com.alibaba.fastjson.util,JavaBeanInfo,69,2500,65,453,22,592,63,209,1,12
fastjson,com.alibaba.fastjson.util,AntiCollisionHashMap.EntryIterator,0,10,0,0,0,2,0,2,0,2
fastjson,com.alibaba.fastjson.util,RyuFloat,39,2095,16,122,9,280,14,59,1,3
fastjson,com.alibaba.fastjson.util,ASMClassLoader.new PrivilegedAction() {...},0,6,0,0,0,2,0,2,0,2
fastjson,com.alibaba.fastjson.util,Base64,63,617,39,53,16,78,37,14,1,4
fastjson,com.alibaba.fastjson.util,AntiCollisionHashMap.EntrySet,2,49,2,6,0,11,2,8,0,6
fastjson,com.alibaba.fastjson.util,AntiCollisionHashMap.HashIterator,16,112,6,16,4,22,6,9,0,4
fastjson,com.alibaba.fastjson.util,UTF8Decoder,174,399,59,42,24,63,44,20,2,10
fastjson,com.alibaba.fastjson.util,AntiCollisionHashMap,126,1041,50,112,25,234,41,79,0,39
fastjson,com.alibaba.fastjson.util,ASMClassLoader,7,326,1,11,4,84,1,12,0,7
