GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConfigurationDynaClass,176,0,30,0,47,0,21,0,6,0
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,DefaultBeanFactory,264,0,30,0,67,0,31,0,16,0
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,BeanHelper.BeanCreationContextImpl,35,0,0,0,12,0,6,0,6,0
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,XMLBeanDeclaration.NodeData,89,0,2,0,17,0,10,0,9,0
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,XMLBeanDeclaration,366,0,36,0,87,0,43,0,25,0
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConstructorArg,118,0,14,0,27,0,18,0,11,0
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,CombinedBeanDeclaration,153,0,26,0,41,0,20,0,7,0
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,BeanHelper,489,0,50,0,131,0,49,0,24,0
Apache Commons Configuration,org.apache.commons.configuration2.beanutils,ConfigurationDynaBean,374,0,46,0,69,0,35,0,12,0
Apache Commons Configuration,org.apache.commons.configuration2,DynamicCombinedConfiguration,857,0,52,0,207,0,111,0,85,0
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationLookup,21,0,2,0,7,0,4,0,3,0
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfiguration.PropertiesWriter.new ValueTransformer() {...},10,0,0,0,3,0,2,0,2,0
Apache Commons Configuration,org.apache.commons.configuration2,ImmutableConfigurationInvocationHandler,35,0,4,0,11,0,5,0,3,0
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationMap.ConfigurationSet.ConfigurationSetIterator,29,0,0,0,7,0,4,0,4,0
Apache Commons Configuration,org.apache.commons.configuration2,PropertiesConfigurationLayout.PropertyLayoutData,94,0,10,0,29,0,16,0,11,0
Apache Commons Configuration,org.apache.commons.configuration2,StrictConfigurationComparator,63,0,16,0,19,0,10,0,2,0
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.JdbcOperation,152,0,12,0,33,0,12,0,6,0
Apache Commons Configuration,org.apache.commons.configuration2,XMLConfiguration.XMLBuilderVisitor,387,0,54,0,102,0,39,0,12,0
Apache Commons Configuration,org.apache.commons.configuration2,XMLPropertiesConfiguration.XMLPropertiesHandler,71,0,8,0,18,0,8,0,4,0
Apache Commons Configuration,org.apache.commons.configuration2,INIConfiguration,793,0,132,0,205,0,92,0,26,0
Apache Commons Configuration,org.apache.commons.configuration2,AbstractYAMLBasedConfiguration,220,0,20,0,51,0,19,0,9,0
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},37,0,2,0,4,0,3,0,2,0
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},45,0,0,0,4,0,2,0,2,0
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},46,0,0,0,5,0,2,0,2,0
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},30,0,0,0,4,0,2,0,2,0
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},87,0,8,0,15,0,6,0,2,0
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},106,0,6,0,17,0,5,0,2,0
Apache Commons Configuration,org.apache.commons.configuration2,BaseHierarchicalConfiguration.BuilderVisitor,117,0,20,0,33,0,14,0,4,0
Apache Commons Configuration,org.apache.commons.configuration2,SubsetConfiguration.SubsetIterator,25,0,0,0,7,0,4,0,4,0
Apache Commons Configuration,org.apache.commons.configuration2,DatabaseConfiguration.new DatabaseConfiguration.JdbcOperation() {...},50,0,2,0,6,0,3,0,2,0
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationUtils,403,0,34,0,106,0,41,0,24,0
Apache Commons Configuration,org.apache.commons.configuration2,ConfigurationConverter,76,0,6,0,24,0,8,0,5,0
